awayscore,away,homescore,date,home,div,tourney
15,Colorblind (21),9,6/25/2016,Allen's Army (20),Men,Boston Invite 2016
2,Diglett (24),15,6/25/2016,East Rock Candy Mountain (17),Men,Boston Invite 2016
13,Xavier's School for Gifted Youngsters (25),6,6/25/2016,Allen's Army (20),Men,Boston Invite 2016
12,Allen's Army (20),15,6/25/2016,East Rock Candy Mountain (17),Men,Boston Invite 2016
5,Xavier's School for Gifted Youngsters (25),15,6/25/2016,Colorblind (21),Men,Boston Invite 2016
5,Scubaru Outbacks (26),15,6/25/2016,G Street (18),Men,Boston Invite 2016
13,Club M - Mephisto (23),15,6/25/2016,Caliber (22),Men,Boston Invite 2016
12,Caliber (22),15,6/25/2016,G Street (18),Men,Boston Invite 2016
2,Club M - Mephisto (23),15,6/25/2016,BUDA (19),Men,Boston Invite 2016
13,Scubaru Outbacks (26),15,6/25/2016,Club M - Mephisto (23),Men,Boston Invite 2016
12,Caliber (22),15,6/25/2016,BUDA (19),Men,Boston Invite 2016
10,Club M - Mephisto (23),15,6/25/2016,G Street (18),Men,Boston Invite 2016
L,Scubaru Outbacks (26),W,6/25/2016,BUDA (19),Men,Boston Invite 2016
W,BUDA (19),L,6/25/2016,G Street (18),Men,Boston Invite 2016
9,Scubaru Outbacks (26),15,6/25/2016,Caliber (22),Men,Boston Invite 2016
3,Scubaru Outbacks (26),15,6/26/2016,Xavier's School for Gifted Youngsters (25),Men,Boston Invite 2016
14,Club M - Mephisto (23),16,6/26/2016,Allen's Army (20),Men,Boston Invite 2016
15,Caliber (22),6,6/26/2016,Diglett (24),Men,Boston Invite 2016
9,Club M - Mephisto (23),14,6/26/2016,Xavier's School for Gifted Youngsters (25),Men,Boston Invite 2016
15,Caliber (22),8,6/26/2016,Allen's Army (20),Men,Boston Invite 2016
6,Scubaru Outbacks (26),15,6/26/2016,Diglett (24),Men,Boston Invite 2016
15,Caliber (22),8,6/26/2016,Xavier's School for Gifted Youngsters (25),Men,Boston Invite 2016
15,Scubaru Outbacks (26),11,6/26/2016,Allen's Army (20),Men,Boston Invite 2016
4,Club M - Mephisto (23),13,6/26/2016,Diglett (24),Men,Boston Invite 2016
15,Mockingbird (7),12,6/26/2016,Dig (1),Men,Boston Invite 2016
L,New Amsterdam (5),W,6/26/2016,Dig (1),Men,Boston Invite 2016
15,Mockingbird (7),11,6/26/2016,Garden State Ultimate (4),Men,Boston Invite 2016
12,Dark or Light (3),15,6/26/2016,Dig (1),Men,Boston Invite 2016
15,New Amsterdam (5),14,6/26/2016,Big Wrench (2),Men,Boston Invite 2016
9,Colt (6),15,6/26/2016,Garden State Ultimate (4),Men,Boston Invite 2016
10,Bruises (12),15,6/26/2016,Mockingbird (7),Men,Boston Invite 2016
9,Deathsquad (10),15,6/25/2016,Dark or Light (3),Men,Boston Invite 2016
4,Red Circus (9),15,6/25/2016,New Amsterdam (5),Men,Boston Invite 2016
12,Red Tide (11),15,6/25/2016,Colt (6),Men,Boston Invite 2016
13,Bruises (12),8,6/25/2016,Club M - Magma (8),Men,Boston Invite 2016
15,Garden State Ultimate (4),8,6/26/2016,New Amsterdam (5),Men,Boston Invite 2016
15,Colt (6),13,6/26/2016,Big Wrench (2),Men,Boston Invite 2016
15,Big Wrench (2),11,6/26/2016,Dark or Light (3),Men,Boston Invite 2016
10,Bruises (12),15,6/26/2016,Colt (6),Men,Boston Invite 2016
11,Bruises (12),10,6/26/2016,Dark or Light (3),Men,Boston Invite 2016
7,Red Circus (9),14,6/26/2016,Club M - Magma (8),Men,Boston Invite 2016
14,Westchester Magma Bears (13),15,6/26/2016,Club M - Magma (8),Men,Boston Invite 2016
13,Deathsquad (10),14,6/26/2016,Red Circus (9),Men,Boston Invite 2016
10,BUDA (19),15,6/26/2016,Club M - Magma (8),Men,Boston Invite 2016
15,Westchester Magma Bears (13),12,6/26/2016,Red Tide (11),Men,Boston Invite 2016
14,Breakers (15),16,6/26/2016,Red Circus (9),Men,Boston Invite 2016
11,Dredge (16),15,6/26/2016,Deathsquad (10),Men,Boston Invite 2016
15,BUDA (19),11,6/26/2016,Sherbrooke Gentlemen's Club (14),Men,Boston Invite 2016
8,Colorblind (21),15,6/26/2016,Westchester Magma Bears (13),Men,Boston Invite 2016
11,G Street (18),15,6/26/2016,Breakers (15),Men,Boston Invite 2016
10,East Rock Candy Mountain (17),15,6/26/2016,Dredge (16),Men,Boston Invite 2016
15,Deathsquad (10),14,6/26/2016,Westchester Magma Bears (13),Men,Boston Invite 2016
16,Breakers (15),14,6/26/2016,Red Tide (11),Men,Boston Invite 2016
15,Red Tide (11),8,6/26/2016,BUDA (19),Men,Boston Invite 2016
8,Dredge (16),15,6/26/2016,Breakers (15),Men,Boston Invite 2016
5,Dredge (16),9,6/26/2016,BUDA (19),Men,Boston Invite 2016
12,East Rock Candy Mountain (17),15,6/26/2016,Sherbrooke Gentlemen's Club (14),Men,Boston Invite 2016
6,Colorblind (21),15,6/26/2016,Sherbrooke Gentlemen's Club (14),Men,Boston Invite 2016
15,East Rock Candy Mountain (17),4,6/26/2016,G Street (18),Men,Boston Invite 2016
13,Colorblind (21),15,6/26/2016,G Street (18),Men,Boston Invite 2016
6,Frenzy (3),15,6/25/2016,Hot Flash (1),Women,SCINNY 2016
5,Belle (4),15,6/25/2016,Notorious C.L.E. (2),Women,SCINNY 2016
6,Belle (4),15,6/25/2016,Hot Flash (1),Women,SCINNY 2016
4,Frenzy (3),15,6/25/2016,Notorious C.L.E. (2),Women,SCINNY 2016
10,Notorious C.L.E. (2),13,6/25/2016,Hot Flash (1),Women,SCINNY 2016
7,Belle (4),15,6/25/2016,Frenzy (3),Women,SCINNY 2016
10,Notorious C.L.E. (2),9,6/26/2016,Hot Flash (1),Women,SCINNY 2016
4,Belle (4),15,6/26/2016,Hot Flash (1),Women,SCINNY 2016
4,Frenzy (3),15,6/26/2016,Notorious C.L.E. (2),Women,SCINNY 2016
9,Frenzy (3),10,6/26/2016,Belle (4),Women,SCINNY 2016
13,Flying Pig (9),9,6/25/2016,Enigma (1),Men,SCINNY 2016
L,Kekionga (8),W,6/25/2016,Schweingeist (5),Men,SCINNY 2016
11,Schweingeist (5),13,6/25/2016,Enigma (1),Men,SCINNY 2016
15,Kekionga (8),13,6/25/2016,B-Yard (4),Men,SCINNY 2016
13,Flying Pig (9),10,6/25/2016,Kekionga (8),Men,SCINNY 2016
13,Schweingeist (5),6,6/25/2016,B-Yard (4),Men,SCINNY 2016
5,Kekionga (8),13,6/25/2016,Enigma (1),Men,SCINNY 2016
13,Flying Pig (9),7,6/25/2016,B-Yard (4),Men,SCINNY 2016
5,B-Yard (4),13,6/26/2016,Enigma (1),Men,SCINNY 2016
9,Flying Pig (9),8,6/26/2016,Schweingeist (5),Men,SCINNY 2016
0,Torque (10),13,6/25/2016,Kentucky Flying Circus (2),Men,SCINNY 2016
4,B.L.O.B. (7),13,6/25/2016,Spoiler (6),Men,SCINNY 2016
8,Spoiler (6),13,6/25/2016,Kentucky Flying Circus (2),Men,SCINNY 2016
6,B.L.O.B. (7),13,6/25/2016,Black Lung (3),Men,SCINNY 2016
7,Torque (10),13,6/25/2016,B.L.O.B. (7),Men,SCINNY 2016
12,Spoiler (6),13,6/25/2016,Black Lung (3),Men,SCINNY 2016
5,B.L.O.B. (7),13,6/25/2016,Kentucky Flying Circus (2),Men,SCINNY 2016
4,Torque (10),13,6/25/2016,Black Lung (3),Men,SCINNY 2016
8,Black Lung (3),9,6/26/2016,Kentucky Flying Circus (2),Men,SCINNY 2016
2,Torque (10),13,6/26/2016,Spoiler (6),Men,SCINNY 2016
10,Kentucky Flying Circus (2),11,6/26/2016,Flying Pig (9),Men,SCINNY 2016
10,Black Lung (3),12,6/26/2016,Flying Pig (9),Men,SCINNY 2016
13,Kentucky Flying Circus (2),11,6/26/2016,Enigma (1),Men,SCINNY 2016
8,Schweingeist (5),9,6/26/2016,Black Lung (3),Men,SCINNY 2016
9,Spoiler (6),15,6/26/2016,Enigma (1),Men,SCINNY 2016
W,Enigma (1),F,6/26/2016,Black Lung (3),Men,SCINNY 2016
W,Spoiler (6),F,6/26/2016,Schweingeist (5),Men,SCINNY 2016
9,B-Yard (4),10,6/26/2016,Kekionga (8),Men,SCINNY 2016
2,Torque (10),15,6/26/2016,Kekionga (8),Men,SCINNY 2016
W,B-Yard (4),L,6/26/2016,B.L.O.B. (7),Men,SCINNY 2016
15,B.L.O.B. (7),4,6/26/2016,Torque (10),Men,SCINNY 2016
1,First Order (17),13,6/25/2016,Toro (1),Mixed,Summer Glazed Daze 2016
12,Sir Walter Rowdy (16),11,6/25/2016,Legion  (9),Mixed,Summer Glazed Daze 2016
5,Legion  (9),13,6/25/2016,Toro (1),Mixed,Summer Glazed Daze 2016
8,Sir Walter Rowdy (16),13,6/25/2016,Swamp Rabbit (8),Mixed,Summer Glazed Daze 2016
0,First Order (17),13,6/25/2016,Sir Walter Rowdy (16),Mixed,Summer Glazed Daze 2016
8,Legion  (9),13,6/25/2016,Swamp Rabbit (8),Mixed,Summer Glazed Daze 2016
2,Sir Walter Rowdy (16),13,6/25/2016,Toro (1),Mixed,Summer Glazed Daze 2016
1,First Order (17),13,6/25/2016,Swamp Rabbit (8),Mixed,Summer Glazed Daze 2016
9,Swamp Rabbit (8),13,6/25/2016,Toro (1),Mixed,Summer Glazed Daze 2016
7,First Order (17),13,6/25/2016,Legion  (9),Mixed,Summer Glazed Daze 2016
9,Lord Fairfax (18),13,6/25/2016,Pluff Mud Panic (2),Mixed,Summer Glazed Daze 2016
7,Boxcar (15),13,6/25/2016,The Hucking Dead (10),Mixed,Summer Glazed Daze 2016
7,The Hucking Dead (10),13,6/25/2016,Pluff Mud Panic (2),Mixed,Summer Glazed Daze 2016
3,Boxcar (15),13,6/25/2016,American Hyperbole (7),Mixed,Summer Glazed Daze 2016
8,Lord Fairfax (18),13,6/25/2016,Boxcar (15),Mixed,Summer Glazed Daze 2016
6,The Hucking Dead (10),13,6/25/2016,American Hyperbole (7),Mixed,Summer Glazed Daze 2016
10,Boxcar (15),12,6/25/2016,Pluff Mud Panic (2),Mixed,Summer Glazed Daze 2016
4,Lord Fairfax (18),13,6/25/2016,American Hyperbole (7),Mixed,Summer Glazed Daze 2016
13,American Hyperbole (7),7,6/25/2016,Pluff Mud Panic (2),Mixed,Summer Glazed Daze 2016
11,Lord Fairfax (18),13,6/25/2016,The Hucking Dead (10),Mixed,Summer Glazed Daze 2016
5,Throws of Passion (11),17,6/25/2016,Charlotte Storm (3),Mixed,Summer Glazed Daze 2016
8,Carolina Reign (14),16,6/25/2016,Tyrannis (6),Mixed,Summer Glazed Daze 2016
10,Carolina Reign (14),17,6/25/2016,Charlotte Storm (3),Mixed,Summer Glazed Daze 2016
10,Throws of Passion (11),11,6/25/2016,Tyrannis (6),Mixed,Summer Glazed Daze 2016
8,Tyrannis (6),15,6/25/2016,Charlotte Storm (3),Mixed,Summer Glazed Daze 2016
17,Carolina Reign (14),7,6/25/2016,Throws of Passion (11),Mixed,Summer Glazed Daze 2016
15,Malice in Wonderland (12),11,6/25/2016,Cahoots (4),Mixed,Summer Glazed Daze 2016
5,Stormborn (13),17,6/25/2016,Jared Lorenzen Project (5),Mixed,Summer Glazed Daze 2016
4,Stormborn (13),17,6/25/2016,Cahoots (4),Mixed,Summer Glazed Daze 2016
11,Malice in Wonderland (12),16,6/25/2016,Jared Lorenzen Project (5),Mixed,Summer Glazed Daze 2016
11,Jared Lorenzen Project (5),10,6/25/2016,Cahoots (4),Mixed,Summer Glazed Daze 2016
5,Stormborn (13),16,6/25/2016,Malice in Wonderland (12),Mixed,Summer Glazed Daze 2016
14,Charlotte Storm (3),12,6/26/2016,Jared Lorenzen Project (5),Mixed,Summer Glazed Daze 2016
13,Jared Lorenzen Project (5),12,6/26/2016,Toro (1),Mixed,Summer Glazed Daze 2016
9,American Hyperbole (7),15,6/26/2016,Charlotte Storm (3),Mixed,Summer Glazed Daze 2016
12,Pluff Mud Panic (2),15,6/26/2016,Toro (1),Mixed,Summer Glazed Daze 2016
15,Jared Lorenzen Project (5),9,6/26/2016,Tyrannis (6),Mixed,Summer Glazed Daze 2016
15,Charlotte Storm (3),11,6/26/2016,Malice in Wonderland (12),Mixed,Summer Glazed Daze 2016
15,American Hyperbole (7),11,6/26/2016,Cahoots (4),Mixed,Summer Glazed Daze 2016
11,Carolina Reign (14),13,6/26/2016,Pluff Mud Panic (2),Mixed,Summer Glazed Daze 2016
10,The Hucking Dead (10),15,6/26/2016,Tyrannis (6),Mixed,Summer Glazed Daze 2016
9,Sir Walter Rowdy (16),13,6/26/2016,Malice in Wonderland (12),Mixed,Summer Glazed Daze 2016
15,Cahoots (4),13,6/26/2016,Swamp Rabbit (8),Mixed,Summer Glazed Daze 2016
8,American Hyperbole (7),11,6/26/2016,Toro (1),Mixed,Summer Glazed Daze 2016
W,Cahoots (4),F,6/26/2016,Pluff Mud Panic (2),Mixed,Summer Glazed Daze 2016
8,Malice in Wonderland (12),15,6/26/2016,Pluff Mud Panic (2),Mixed,Summer Glazed Daze 2016
15,Cahoots (4),14,6/26/2016,Tyrannis (6),Mixed,Summer Glazed Daze 2016
10,Tyrannis (6),8,6/26/2016,Malice in Wonderland (12),Mixed,Summer Glazed Daze 2016
15,Carolina Reign (14),11,6/26/2016,Swamp Rabbit (8),Mixed,Summer Glazed Daze 2016
13,Carolina Reign (14),11,6/26/2016,Sir Walter Rowdy (16),Mixed,Summer Glazed Daze 2016
9,The Hucking Dead (10),14,6/26/2016,Swamp Rabbit (8),Mixed,Summer Glazed Daze 2016
9,Sir Walter Rowdy (16),11,6/26/2016,The Hucking Dead (10),Mixed,Summer Glazed Daze 2016
13,Boxcar (15),9,6/26/2016,Legion  (9),Mixed,Summer Glazed Daze 2016
15,Legion  (9),7,6/26/2016,Stormborn (13),Mixed,Summer Glazed Daze 2016
14,Boxcar (15),11,6/26/2016,Throws of Passion (11),Mixed,Summer Glazed Daze 2016
15,Stormborn (13),10,6/26/2016,First Order (17),Mixed,Summer Glazed Daze 2016
15,Throws of Passion (11),9,6/26/2016,Lord Fairfax (18),Mixed,Summer Glazed Daze 2016
15,Throws of Passion (11),7,6/26/2016,Stormborn (13),Mixed,Summer Glazed Daze 2016
15,Lord Fairfax (18),6,6/26/2016,First Order (17),Mixed,Summer Glazed Daze 2016
3,Suffrage (6),9,6/25/2016,Rogue (5),Women,Cackalacky Challenge 2016
1,Warhawks (7),10,6/25/2016,Grit (2),Women,Cackalacky Challenge 2016
3,Virginia Rebellion (4),8,6/25/2016,Backhanded (3),Women,Cackalacky Challenge 2016
2,Virginia Rebellion (4),11,6/25/2016,Phoenix (1),Women,Cackalacky Challenge 2016
3,Warhawks (7),8,6/25/2016,Backhanded (3),Women,Cackalacky Challenge 2016
1,Suffrage (6),11,6/25/2016,Grit (2),Women,Cackalacky Challenge 2016
4,Grit (2),9,6/25/2016,Phoenix (1),Women,Cackalacky Challenge 2016
6,Warhawks (7),7,6/25/2016,Rogue (5),Women,Cackalacky Challenge 2016
1,Suffrage (6),11,6/25/2016,Backhanded (3),Women,Cackalacky Challenge 2016
3,Rogue (5),11,6/25/2016,Phoenix (1),Women,Cackalacky Challenge 2016
4,Suffrage (6),10,6/25/2016,Virginia Rebellion (4),Women,Cackalacky Challenge 2016
7,Backhanded (3),6,6/25/2016,Grit (2),Women,Cackalacky Challenge 2016
5,Rogue (5),10,6/25/2016,Virginia Rebellion (4),Women,Cackalacky Challenge 2016
1,Warhawks (7),11,6/25/2016,Phoenix (1),Women,Cackalacky Challenge 2016
9,Warhawks (7),8,6/26/2016,Suffrage (6),Women,Cackalacky Challenge 2016
2,Backhanded (3),11,6/26/2016,Phoenix (1),Women,Cackalacky Challenge 2016
5,Rogue (5),10,6/26/2016,Grit (2),Women,Cackalacky Challenge 2016
1,Warhawks (7),11,6/26/2016,Virginia Rebellion (4),Women,Cackalacky Challenge 2016
8,Virginia Rebellion (4),5,6/26/2016,Grit (2),Women,Cackalacky Challenge 2016
0,Suffrage (6),11,6/26/2016,Phoenix (1),Women,Cackalacky Challenge 2016
2,Rogue (5),9,6/26/2016,Backhanded (3),Women,Cackalacky Challenge 2016
4,Backhanded (3),13,6/26/2016,Phoenix (1),Women,Cackalacky Challenge 2016
9,Grit (2),13,6/26/2016,Virginia Rebellion (4),Women,Cackalacky Challenge 2016
5,Warhawks (7),9,6/26/2016,Rogue (5),Women,Cackalacky Challenge 2016
0,Texas Tango (7),13,6/25/2016,Showdown (1),Women,Texas 2 Finger 2016
1,Inferno (3),12,6/25/2016,Maeve (2),Women,Texas 2 Finger 2016
12,slowhana (5),5,6/25/2016,Queen Cake (4),Women,Texas 2 Finger 2016
1,Queen Cake (4),13,6/25/2016,Showdown (1),Women,Texas 2 Finger 2016
2,Temptress (6),13,6/25/2016,Maeve (2),Women,Texas 2 Finger 2016
6,Texas Tango (7),8,6/25/2016,Inferno (3),Women,Texas 2 Finger 2016
9,Maeve (2),12,6/25/2016,Showdown (1),Women,Texas 2 Finger 2016
4,Temptress (6),10,6/25/2016,Queen Cake (4),Women,Texas 2 Finger 2016
13,slowhana (5),3,6/25/2016,Inferno (3),Women,Texas 2 Finger 2016
8,Queen Cake (4),7,6/25/2016,Inferno (3),Women,Texas 2 Finger 2016
1,Temptress (6),13,6/25/2016,Showdown (1),Women,Texas 2 Finger 2016
1,Texas Tango (7),13,6/25/2016,slowhana (5),Women,Texas 2 Finger 2016
2,Temptress (6),13,6/25/2016,slowhana (5),Women,Texas 2 Finger 2016
0,Texas Tango (7),13,6/25/2016,Maeve (2),Women,Texas 2 Finger 2016
10,Texas Tango (7),4,6/26/2016,Temptress (6),Women,Texas 2 Finger 2016
3,Inferno (3),13,6/26/2016,Showdown (1),Women,Texas 2 Finger 2016
12,slowhana (5),11,6/26/2016,Maeve (2),Women,Texas 2 Finger 2016
4,Texas Tango (7),12,6/26/2016,Queen Cake (4),Women,Texas 2 Finger 2016
5,Temptress (6),12,6/26/2016,Inferno (3),Women,Texas 2 Finger 2016
4,slowhana (5),13,6/26/2016,Showdown (1),Women,Texas 2 Finger 2016
4,Queen Cake (4),11,6/26/2016,Maeve (2),Women,Texas 2 Finger 2016
4,THE BODY (9),13,8/20/2016,Illusion (1),Men,Cooler Classic 28
13,houSE (5),7,8/20/2016,Climax (4),Men,Cooler Classic 28
6,houSE (5),13,8/20/2016,Illusion (1),Men,Cooler Classic 28
6,Hippie Mafia (8),13,8/20/2016,Climax (4),Men,Cooler Classic 28
9,Hippie Mafia (8),13,8/20/2016,houSE (5),Men,Cooler Classic 28
L,THE BODY (9),W,8/20/2016,Climax (4),Men,Cooler Classic 28
3,Hippie Mafia (8),13,8/20/2016,Illusion (1),Men,Cooler Classic 28
7,THE BODY (9),10,8/20/2016,houSE (5),Men,Cooler Classic 28
6,Climax (4),13,8/20/2016,Illusion (1),Men,Cooler Classic 28
10,THE BODY (9),7,8/20/2016,Hippie Mafia (8),Men,Cooler Classic 28
3,Dregs (10),13,8/20/2016,Haymaker (2),Men,Cooler Classic 28
13,Wisconsin Hops (6),10,8/20/2016,Black Market II (3),Men,Cooler Classic 28
11,Wisconsin Hops (6),13,8/20/2016,Haymaker (2),Men,Cooler Classic 28
14,Cream City Crooks (7),12,8/20/2016,Black Market II (3),Men,Cooler Classic 28
11,Cream City Crooks (7),10,8/20/2016,Wisconsin Hops (6),Men,Cooler Classic 28
5,Dregs (10),13,8/20/2016,Black Market II (3),Men,Cooler Classic 28
7,Cream City Crooks (7),11,8/20/2016,Haymaker (2),Men,Cooler Classic 28
3,Dregs (10),13,8/20/2016,Wisconsin Hops (6),Men,Cooler Classic 28
1,Dregs (10),7,8/20/2016,Cream City Crooks (7),Men,Cooler Classic 28
10,Black Market II (3),8,8/20/2016,Haymaker (2),Men,Cooler Classic 28
6,Haymaker (2),15,8/21/2016,Illusion (1),Men,Cooler Classic 28
3,Cream City Crooks (7),15,8/21/2016,Illusion (1),Men,Cooler Classic 28
11,Haymaker (2),9,8/21/2016,houSE (5),Men,Cooler Classic 28
9,Black Market II (3),13,8/21/2016,Illusion (1),Men,Cooler Classic 28
14,Climax (4),16,8/21/2016,Cream City Crooks (7),Men,Cooler Classic 28
10,Wisconsin Hops (6),12,8/21/2016,houSE (5),Men,Cooler Classic 28
13,Haymaker (2),3,8/21/2016,THE BODY (9),Men,Cooler Classic 28
6,Hippie Mafia (8),15,8/21/2016,Black Market II (3),Men,Cooler Classic 28
2,Dregs (10),15,8/21/2016,THE BODY (9),Men,Cooler Classic 28
10,houSE (5),14,8/21/2016,Cream City Crooks (7),Men,Cooler Classic 28
9,Wisconsin Hops (6),5,8/21/2016,Climax (4),Men,Cooler Classic 28
13,Climax (4),11,8/21/2016,Black Market II (3),Men,Cooler Classic 28
4,THE BODY (9),15,8/21/2016,Wisconsin Hops (6),Men,Cooler Classic 28
0,THE BODY (9),0,8/21/2016,Black Market II (3),Men,Cooler Classic 28
2,Dregs (10),15,8/21/2016,Hippie Mafia (8),Men,Cooler Classic 28
5,Guerrilla (6),13,8/20/2016,Madison Club (1),Men,Bro Flight Finale 2016
13,Dig (5),7,8/20/2016,Mad Men (2),Men,Bro Flight Finale 2016
7,Garden State Ultimate (4),13,8/20/2016,H.I.P (3),Men,Bro Flight Finale 2016
7,Freaks (9),13,8/20/2016,Furious George (7),Men,Bro Flight Finale 2016
6,Garden State Ultimate (4),13,8/20/2016,Madison Club (1),Men,Bro Flight Finale 2016
13,H.I.P (3),7,8/20/2016,Mad Men (2),Men,Bro Flight Finale 2016
10,Freaks (9),12,8/20/2016,Dig (5),Men,Bro Flight Finale 2016
6,Sprawl (8),13,8/20/2016,Guerrilla (6),Men,Bro Flight Finale 2016
8,Furious George (7),11,8/20/2016,Madison Club (1),Men,Bro Flight Finale 2016
8,Guerrilla (6),9,8/20/2016,Mad Men (2),Men,Bro Flight Finale 2016
8,Dig (5),13,8/20/2016,H.I.P (3),Men,Bro Flight Finale 2016
9,Freaks (9),10,8/20/2016,Sprawl (8),Men,Bro Flight Finale 2016
13,Sprawl (8),9,8/20/2016,Mad Men (2),Men,Bro Flight Finale 2016
10,Furious George (7),12,8/20/2016,H.I.P (3),Men,Bro Flight Finale 2016
13,Guerrilla (6),10,8/20/2016,Garden State Ultimate (4),Men,Bro Flight Finale 2016
4,Freaks (9),13,8/20/2016,Madison Club (1),Men,Bro Flight Finale 2016
10,Sprawl (8),9,8/20/2016,Garden State Ultimate (4),Men,Bro Flight Finale 2016
7,Furious George (7),10,8/20/2016,Dig (5),Men,Bro Flight Finale 2016
9,Dig (5),13,8/21/2016,Madison Club (1),Men,Bro Flight Finale 2016
8,Garden State Ultimate (4),13,8/21/2016,Mad Men (2),Men,Bro Flight Finale 2016
7,Freaks (9),13,8/21/2016,Guerrilla (6),Men,Bro Flight Finale 2016
9,Sprawl (8),12,8/21/2016,Furious George (7),Men,Bro Flight Finale 2016
14,H.I.P (3),15,8/21/2016,Madison Club (1),Men,Bro Flight Finale 2016
9,Sprawl (8),13,8/21/2016,Dig (5),Men,Bro Flight Finale 2016
10,Freaks (9),8,8/21/2016,Garden State Ultimate (4),Men,Bro Flight Finale 2016
7,Furious George (7),13,8/21/2016,Guerrilla (6),Men,Bro Flight Finale 2016
8,Freaks (9),13,8/21/2016,Mad Men (2),Men,Bro Flight Finale 2016
9,Sprawl (8),13,8/21/2016,H.I.P (3),Men,Bro Flight Finale 2016
13,Furious George (7),5,8/21/2016,Garden State Ultimate (4),Men,Bro Flight Finale 2016
15,Guerrilla (6),14,8/21/2016,Dig (5),Men,Bro Flight Finale 2016
9,Heist (9),13,8/20/2016,Phoenix (7),Women,TCT Pro Flight Finale 2016 (Cascadia Classic)
13,Traffic (6),10,8/20/2016,Fury (4),Women,TCT Pro Flight Finale 2016 (Cascadia Classic)
6,Traffic (6),13,8/20/2016,Seattle Riot (1),Women,TCT Pro Flight Finale 2016 (Cascadia Classic)
6,Phoenix (7),13,8/20/2016,Fury (4),Women,TCT Pro Flight Finale 2016 (Cascadia Classic)
3,Heist (9),13,8/20/2016,Seattle Riot (1),Women,TCT Pro Flight Finale 2016 (Cascadia Classic)
6,Phoenix (7),13,8/20/2016,Traffic (6),Women,TCT Pro Flight Finale 2016 (Cascadia Classic)
6,Phoenix (7),13,8/20/2016,Seattle Riot (1),Women,TCT Pro Flight Finale 2016 (Cascadia Classic)
3,Heist (9),13,8/20/2016,Fury (4),Women,TCT Pro Flight Finale 2016 (Cascadia Classic)
9,Fury (4),13,8/20/2016,Seattle Riot (1),Women,TCT Pro Flight Finale 2016 (Cascadia Classic)
12,Heist (9),14,8/20/2016,Traffic (6),Women,TCT Pro Flight Finale 2016 (Cascadia Classic)
5,Schwa (10),13,8/20/2016,Nightlock (8),Women,TCT Pro Flight Finale 2016 (Cascadia Classic)
13,Scandal (5),7,8/20/2016,Molly Brown (3),Women,TCT Pro Flight Finale 2016 (Cascadia Classic)
11,Scandal (5),13,8/20/2016,Brute Squad (2),Women,TCT Pro Flight Finale 2016 (Cascadia Classic)
9,Nightlock (8),13,8/20/2016,Molly Brown (3),Women,TCT Pro Flight Finale 2016 (Cascadia Classic)
8,Schwa (10),13,8/20/2016,Brute Squad (2),Women,TCT Pro Flight Finale 2016 (Cascadia Classic)
5,Nightlock (8),13,8/20/2016,Scandal (5),Women,TCT Pro Flight Finale 2016 (Cascadia Classic)
10,Nightlock (8),12,8/20/2016,Brute Squad (2),Women,TCT Pro Flight Finale 2016 (Cascadia Classic)
8,Schwa (10),13,8/20/2016,Molly Brown (3),Women,TCT Pro Flight Finale 2016 (Cascadia Classic)
12,Molly Brown (3),13,8/20/2016,Brute Squad (2),Women,TCT Pro Flight Finale 2016 (Cascadia Classic)
6,Schwa (10),13,8/20/2016,Scandal (5),Women,TCT Pro Flight Finale 2016 (Cascadia Classic)
11,Brute Squad (2),13,8/21/2016,Seattle Riot (1),Women,TCT Pro Flight Finale 2016 (Cascadia Classic)
10,Fury (4),13,8/21/2016,Seattle Riot (1),Women,TCT Pro Flight Finale 2016 (Cascadia Classic)
15,Brute Squad (2),14,8/21/2016,Molly Brown (3),Women,TCT Pro Flight Finale 2016 (Cascadia Classic)
13,Fury (4),11,8/21/2016,Scandal (5),Women,TCT Pro Flight Finale 2016 (Cascadia Classic)
13,Molly Brown (3),10,8/21/2016,Traffic (6),Women,TCT Pro Flight Finale 2016 (Cascadia Classic)
8,Molly Brown (3),13,8/21/2016,Fury (4),Women,TCT Pro Flight Finale 2016 (Cascadia Classic)
13,Traffic (6),12,8/21/2016,Scandal (5),Women,TCT Pro Flight Finale 2016 (Cascadia Classic)
13,Nightlock (8),9,8/21/2016,Schwa (10),Women,TCT Pro Flight Finale 2016 (Cascadia Classic)
9,Heist (9),12,8/21/2016,Nightlock (8),Women,TCT Pro Flight Finale 2016 (Cascadia Classic)
13,Schwa (10),12,8/21/2016,Phoenix (7),Women,TCT Pro Flight Finale 2016 (Cascadia Classic)
9,Heist (9),12,8/21/2016,Phoenix (7),Women,TCT Pro Flight Finale 2016 (Cascadia Classic)
5,Mad Udderburn (5),13,8/20/2016,NOISE (1),Mixed,Cooler Classic 28
10,panIC (4),13,8/20/2016,Minnesota Star Power (2),Mixed,Cooler Classic 28
4,No Touching (3),13,8/20/2016,NOISE (1),Mixed,Cooler Classic 28
13,Mad Udderburn (5),11,8/20/2016,panIC (4),Mixed,Cooler Classic 28
13,panIC (4),10,8/20/2016,No Touching (3),Mixed,Cooler Classic 28
2,Mad Udderburn (5),13,8/20/2016,Minnesota Star Power (2),Mixed,Cooler Classic 28
4,panIC (4),13,8/20/2016,NOISE (1),Mixed,Cooler Classic 28
13,No Touching (3),8,8/20/2016,Minnesota Star Power (2),Mixed,Cooler Classic 28
